word,weight;
image,-2.0;
bawain,-3.0;
puasa,-2.0;
kerut,-2.0;
cacing jantung,-4.0;
cacing ginjal,-4.0;
brutal,-5.0;
hamster,-3.0;
diajarin,-3.0;
luda,-3.0;
giniin,-2.0;
suap,-3.0;
tetiba,-3.0;
tebat,-3.0;
tebak,-2.0;
amatin,-2.0;
diliatin,-3.0;
mirip,-2.0;
cacing gilig,-4.0;
api,-2.0;
senonoh,-5.0;
garuk,-3.0;
bisain,-2.0;
timang,-1.0;
insane,-4.0;
sambal,-2.0;
gjd,-3.0;
kualat,-4.0;
selulur,-2.0;
gersang,-3.0;
tolak,-4.0;
jilat jilat,-2.0;
jahatin,-3.0;
cacing hati,-2.0;
babu,-5.0;
timpa,-3.0;
kontroversi,-4.0;
mblo,-3.0;
tidak kuat,-3.0;
poor,-4.0;
mata mata,-3.0;
kenapaaa,-3.0;
pikul,-2.0;
lau,-2.0;
gelicik,-3.0;
jilat,-3.0;
selir,-4.0;
yaoi,-5.0;
idam,-2.0;
napsu,-3.0;
zalim,-5.0;
gelingsir,-3.0;
bau kencur,-4.0;
alergi,-3.0;
kodok,-2.0;
drop,-3.0;
dikit,-3.0;
belikan,-1.0;
sundut,-3.0;
pataka,-3.0;
siapa,-2.0;
mahh,-3.0;
gamungkin,-3.0;
matiin,-2.0;
bantah,-3.0;
kenapa,-3.0;
lagak,-2.0;
cacing gila,-4.0;
eek,-5.0;
malesin,-4.0;
anak bawang,-2.0;
dinistain,-4.0;
yahhh,-3.0;
loloh,-3.0;
bokep,-5.0;
jahat,-4.0;
seksologis,-2.0;
claim,-3.0;
candu,-3.0;
mumpung,-3.0;
cemberut,-4.0;
dijadikan,-2.0;
lepek,-4.0;
jangann,-3.0;
gulir,-3.0;
boros,-5.0;
ganti,-3.0;
jujur,-1.0;
akumah,-3.0;
goodbye,-3.0;
semena,-3.0;
panas manasi,-3.0;
curcol,-3.0;
nyata,-2.0;
keparat,-5.0;
linggis,-4.0;
hangus,-3.0;
kepleset,-4.0;
badmood,-4.0;
die,-4.0;
malak,-4.0;
indikasi,-2.0;
kesi,-4.0;
peleset,-4.0;
ihhhh,-3.0;
bobroq,-4.0;
tuyul,-4.0;
remeh,-5.0;
gantung,-3.0;
taat,-1.0;
intrik,-3.0;
padahal,-2.0;
kerat,-1.0;
raiso,-3.0;
excited,-1.0;
guling,-3.0;
gangsar,-3.0;
kemas kemas,-2.0;
susut,-2.0;
becek,-4.0;
ya sudah,-3.0;
luluh,-3.0;
sohor,-1.0;
rentan,-4.0;
iyasih,-2.0;
rusak binasa,-4.0;
belah,-5.0;
horny;-4
ngentot;-3
anjer,-3.0;
alat vital,-2.0;
gibah,-3.0;
aurat,-2.0;
rasain,-3.0;
alat kelamin,-3.0;
alangkah,-2.0;
ingin,-1.0;
kutu busuk,-4.0;
makelar,-3.0;
manuver,-3.0;
getir,-4.0;
memek,-5.0;
kalah,-4.0;
tekan,-3.0;
ngesot,-2.0;
samping,-4.0;
gelecik,-4.0;
larang,-3.0;
mainstream,-3.0;
iyak,-2.0;
cacing tambang,-2.0;
bini gelap,-5.0;
nyolong,-4.0;
kompor,-4.0;
yaahh,-3.0;
lieur,-3.0;
kena,-3.0;
hempas,-4.0;
dahh,-3.0;
karin,-2.0;
goblok,-4.0;
tembakau,-3.0;
kerjain,-3.0;
suspend,-3.0;
mayat,-4.0;
eksplisit,-2.0;
buah simalakama,-3.0;
salah langkah,-3.0;
mumet,-4.0;
debu,-3.0;
itu,-2.0;
lap kaki,-2.0;
pedas,-2.0;
jera,-3.0;
begak,-3.0;
alone,-3.0;
muntah,-4.0;
celah,-3.0;
menghisap,-1.0;
segitunya,-3.0;
bidik,-2.0;
stalking,-4.0;
naudzubillah,-5.0;
keling,-3.0;
mutualan,3.0;
susuk,-4.0;
kencing,-3.0;
awan kelabu,-3.0;
gemuruh,-3.0;
fresh,-2.0;
ngeden,-2.0;
sensi,-4.0;
jambret,-5.0;
mutu,-1.0;
jauhin,-3.0;
rupawan,-1.0;
lucu,-2.0;
jedot,-4.0;
sukar,-4.0;
nyontek,-5.0;
rombak,-2.0;
cemerlang,-1.0;
siksa,-5.0;
dibeliin,-1.0;
sedihhh,-5.0;
bongkar,-3.0;
ngarti,-3.0;
cucut,-3.0;
hutang,-5.0;
gbs,-2.0;
disalahin,-3.0;
incess,-3.0;
kabeh,-2.0;
irit,-2.0;
kabar angin,-3.0;
angkot,-1.0;
problem,-4.0;
yampun,-3.0;
surup,-5.0;
komat kamit,-3.0;
manis,-2.0;
teror,-5.0;
pundung,-4.0;
jadul,-3.0;
sungkap,-3.0;
lengket,-2.0;
injek,-3.0;
melarat,-4.0;
tanah tandus,-3.0;
dobrak,-4.0;
sayat,-4.0;
retek,-3.0;
coplok,-3.0;
empas,-3.0;
terror,-5.0;
sanding,-2.0;
takut,-4.0;
jepit,-4.0;
muskil,-2.0;
aahh,-3.0;
mungut,-2.0;
astagfirulloh,-4.0;
peles,-1.0;
rapet,-2.0;
kedaluwarsa,-3.0;
kocak,-2.0;
eror,-4.0;
sehat,-1.0;
melar,-2.0;
death,-3.0;
inkarnasi,-1.0;
hidu,-1.0;
geledek,-2.0;
pacul,-4.0;
tembok,-1.0;
najisin,-4.0;
jiji,-4.0;
yaudahlah,-3.0;
nusuk,-3.0;
jigong,-4.0;
dah,-3.0;
uler,-3.0;
lebay,-4.0;
rasuk,-5.0;
seteru,-4.0;
emmm,-2.0;
keladi,-3.0;
lengket lengket,-3.0;
idk,-3.0;
politik,-1.0;
geledah,-3.0;
ngelupain,-4.0;
ngespam,-3.0;
tenang,-1.0;
panik,-4.0;
ngilu,-4.0;
tilam,-4.0;
bencong,-5.0;
pusink,-3.0;
fitnah,-5.0;
harmonis,-1.0;
bedah,-3.0;
jatah,-1.0;
lutut,-2.0;
tunggang,-1.0;
tusuk,-4.0;
pecat,-5.0;
kumat,-4.0;
better,-1.0;
ceria,-1.0;
sodok,-3.0;
sotau,-4.0;
pitnah,-3.0;
yailah,-3.0;
diduain,-3.0;
nyet,-4.0;
pendek tali,-4.0;
gemetar,-3.0;
bau,-4.0;
ngomel,-4.0;
numpuk,-3.0;
hambar,-3.0;
down,-3.0;
mesiu,-1.0;
neraka,-5.0;
nganggur,-3.0;
tertib,-2.0;
blur,-4.0;
langah,-3.0;
mupeng,-2.0;
biadab,-5.0;
langau,-4.0;
tekuk lutut,-3.0;
guntur,-3.0;
delay,-3.0;
bangsat,-5.0;
kereta,-4.0;
mengap,-3.0;
sahara,-2.0;
cair,-1.0;
belaka,-1.0;
gigil,-4.0;
tumpuk,-4.0;
celampak,-3.0;
kecamuk,-4.0;
cucok,-1.0;
diancurin,-3.0;
sapu,-3.0;
kapok,-3.0;
gabaik,-3.0;
cocok,-3.0;
cekak,-3.0;
bogum,-3.0;
majikan,-3.0;
suka,-1.0;
stres,-4.0;
bual,-4.0;
dipamerin,-3.0;
aniaya,-4.0;
absurd,-2.0;
yang tuan,-3.0;
beling,-1.0;
suci,-1.0;
cubit,-3.0;
bobol,-4.0;
lebai,-3.0;
pipis,-2.0;
lirih,-3.0;
rewel,-4.0;
nestapa,-3.0;
amit,-4.0;
nyampah,-4.0;
depresi,-4.0;
dukacita,-3.0;
hembus,-3.0;
boker,-3.0;
rokok,-3.0;
darah dingin,-4.0;
rogoh,-3.0;
rogok,-3.0;
ditidurin,-4.0;
copot,-3.0;
rosak,-3.0;
halang,-3.0;
santet,-5.0;
gejolak,-3.0;
dilema,-3.0;
apek,-4.0;
gabutuh,-3.0;
kejam,-4.0;
rontok,-3.0;
sendu,-2.0;
elegan,-1.0;
jelma,-3.0;
konsekuensi,-3.0;
lapang hati,-1.0;
pajak,-3.0;
gagal,-4.0;
tumbuk,-3.0;
sisih,-2.0;
terajam,-4.0;
tkde,-1.0;
berangan,-3.0;
banyol,-3.0;
pelosok,-3.0;
pending,-3.0;
cry,-3.0;
mules,-4.0;
ketar ketar,-3.0;
prihatin,-3.0;
mustahil,-2.0;
komplikasi,-3.0;
isu,-1.0;
anjis,-1.0;
melet,-3.0;
taik,-5.0;
buta hati,-4.0;
kantong tipis,-4.0;
darah,-1.0;
hilaf,-4.0;
ex,-1.0;
anjg,-5.0;
ngeles,-3.0;
murung,-4.0;
jutekin,-5.0;
kelok kelok,-2.0;
huhuu,-4.0;
belenggu,-3.0;
rebak,-3.0;
ledak,-4.0;
hayoloh,-3.0;
bisik,-2.0;
lembung,-3.0;
ecer,-2.0;
bagal,-3.0;
anjlok,-4.0;
haters,-5.0;
gosah,-3.0;
bandar,-4.0;
dosa,-4.0;
maho,-4.0;
compeng,-4.0;
ciplak,-3.0;
rang,-3.0;
gelagap,-2.0;
biang keladi,-4.0;
gembul,-3.0;
betina,-2.0;
konyol,-3.0;
cengeng,-4.0;
aduk,-3.0;
ngancem,-4.0;
gores,-3.0;
elak,-3.0;
pedofil,-5.0;
sebarang,-2.0;
ngetawain,-4.0;
ragu,-3.0;
gone,-2.0;
suudzon,-4.0;
cucuk,-3.0;
golek,-1.0;
layan,-2.0;
diare,-4.0;
leleh,-3.0;
bakat,-1.0;
berat telinga,-3.0;
ada,-3.0;
lebih baik,-3.0;
ugal ugalan,-2.0;
ngestalk,-4.0;
curiga,-4.0;
satu,-1.0;
faedah,-1.0;
petaka,-4.0;
masygul,-2.0;
jatohnya,-1.0;
pelecok,-3.0;
benguk,-2.0;
semangatin,-1.0;
ringkih,-4.0;
liat,-2.0;
renti,-3.0;
poko,-2.0;
palit,-3.0;
bom,-1.0;
sentuh asa,-1.0;
tahu,-4.0;
wara,-3.0;
sengal,-4.0;
uar,-3.0;
sir,-2.0;
kobar,-2.0;
henti tugas,-2.0;
main,-2.0;
meni,-2.0;
ketar,-3.0;
galak panas,-3.0;
kapah,-2.0;
gonggong anjing,-3.0;
kaya,-2.0;
kemas,-2.0;
kelok,-2.0;
kenang,-2.0;
kuat duga,-2.0;
abu,-2.0;
tembak,-5.0;
ken,-2.0;
korek,-4.0;
pinned,2.0;
geleng,-3.0;
antem,-4.0;
batas,-3.0;
kasi,-3.0;
acak,-5.0;
ampas kopi,-2.0;
lari,-2.0;
olok,-4.0;
akal,-4.0;
maksud,-1.0;
lot,-5.0;
sungguh,-1.0;
ubah,-3.0;
jaga,-3.0;
mencak,-5.0;
uang,-2.0;
panas,-3.0;
ngaceng,-5.0;
jihat,-4.0;
arau,-4.0;
tubruk,-3.0;
lesap,-3.0;
transformasi,-5.0;
gabung,-5.0;
gasak,-5.0;
maklumat,-3.0;
inersia,-4.0;
lebur,-5.0;
senyampang,-4.0;
ayun,-3.0;
hadirin,-3.0;
pantang,-4.0;
porno,-5.0;
karut,-5.0;
tingkeb,-3.0;
bayi,-3.0;
empot empot,-5.0;
lembu liar,-3.0;
kemandang,-3.0;
rantas,-3.0;
sambung,-3.0;
aus,-5.0;
gulung,-4.0;
moyang,-4.0;
berang,-5.0;
singkil,-4.0;
deru,-3.0;
represi,-4.0;
distorsi,-4.0;
risih,-3.0;
semak hati,-5.0;
lintas,-4.0;
tung,-3.0;
risa,-4.0;
benyot,-4.0;
bromocorah,-5.0;
medok,-3.0;
lencana,-3.0;
ekshibisi,-3.0;
kali,-3.0;
hening,-3.0;
lingkup,-3.0;
gam,-4.0;
cagil,-4.0;
mampat,-3.0;
kaji,-5.0;
gelogok,-3.0;
gapil mulut,-4.0;
selesma,-3.0;
pari,-3.0;
khafi,-5.0;
lumang,-5.0;
kecandan,-4.0;
basmi,-5.0;
petuah,-3.0;
cegat,-3.0;
pulsa,-3.0;
rancu,-4.0;
titis,-3.0;
ketupat bengkulu,-5.0;
tawar,-4.0;
cacat,-5.0;
titik,-3.0;
ikhtiar,-4.0;
pelekok,-3.0;
betung,-3.0;
ganda,-3.0;
anjak,-3.0;
sulam,-5.0;
bengal,-4.0;
serius,-5.0;
kusut hati,-5.0;
mupus,-5.0;
kait,-4.0;
barua,-5.0;
robek,-4.0;
judes,-4.0;
belembang,-5.0;
betas,-3.0;
madat,-3.0;
sensasi,-5.0;
sandung,-5.0;
catak,-4.0;
interlokusi,-3.0;
rongseng,-4.0;
baya,-4.0;
merinin,-3.0;
tempo,-4.0;
cacing kalung,-4.0;
makmur,-3.0;
borok,-5.0;
kentara,-3.0;
restan,-3.0;
toleransi,-3.0;
caci,-5.0;
mama,-4.0;
dorong,-4.0;
pancakara,-4.0;
tenggang,-3.0;
hunjam,-4.0;
angkat tangan,-5.0;
sumbang,-4.0;
hangat,-4.0;
cekuh,-3.0;
forum,-3.0;
anjing tanah,-5.0;
juang,-3.0;
dering,-3.0;
mentok,-5.0;
jendala,-5.0;
puyeng,-4.0;
kelesa,-4.0;
tambah,-5.0;
kerdak,-4.0;
gelabur,-5.0;
tutur,-3.0;
rapat,-3.0;
fasid,-5.0;
celoteh,-4.0;
selang,-3.0;
tais,-3.0;
kelasah lusuh,-5.0;
orang orang,-3.0;
gencet,-5.0;
muat,-3.0;
bersih,-5.0;
walak,-5.0;
unit,-4.0;
anjung,-3.0;
tahi angin,-4.0;
kerekau,-3.0;
musir,-4.0;
saran,-3.0;
rangkum,-3.0;
rangkul,-3.0;
orang bunian,-4.0;
rintang,-4.0;
rangkup,-3.0;
rangkus,-4.0;
abdi,-3.0;
sesak sesak,-3.0;
prajurit,-5.0;
suari,-3.0;
obat bedil,-3.0;
sarau,-5.0;
bayu,-4.0;
miliun,-5.0;
helat,-4.0;
lisong,-3.0;
selekeh,-5.0;
kantong,-5.0;
tara,-3.0;
runcing,-4.0;
disparitas,-4.0;
lawan,-5.0;
gelongsor,-4.0;
tesis,-3.0;
relai,-5.0;
lik,-4.0;
pitam,-4.0;
tulup,-3.0;
ibadat,-3.0;
vibrasi,-3.0;
jerkah,-5.0;
fakir,-5.0;
kode,-3.0;
cencala,-5.0;
genitalia,-3.0;
sigar,-3.0;
ungkit,-3.0;
fadihat,-5.0;
indehoi,-3.0;
ta,-3.0;
akik,-3.0;
jamah,-5.0;
sewot,-5.0;
bolsak,-4.0;
dusta,-4.0;
urung,-5.0;
kasiku,-4.0;
cirit,-5.0;
jolok,-3.0;
apkir,-4.0;
penuh,-3.0;
hubung singkat,-4.0;
adiktif,-4.0;
lubuk,-3.0;
lelucon,-4.0;
umbul umbul,-3.0;
paut,-4.0;
sangkak hati,-4.0;
kadam,-3.0;
hot,-4.0;
jalan lingkar,-4.0;
terang,-3.0;
uji,-5.0;
coreng moreng,-4.0;
iri hati,-5.0;
setia,-4.0;
makmum,-3.0;
deriji,-4.0;
sedu,-5.0;
cunam,-3.0;
mu,-4.0;
sampean,-4.0;
jendera,-4.0;
menggelabu,-4.0;
bedol,-4.0;
pakai bahasa,-3.0;
arca,-3.0;
sistem,-4.0;
buang buang air,-5.0;
siasat,-3.0;
lecet,-4.0;
walang hati,-5.0;
senda gurau,-4.0;
tala tala,-3.0;
tegal,-4.0;
umpil,-3.0;
duri,-4.0;
bahasa,-4.0;
gugup,-5.0;
gugus,-4.0;
cikun cikun,-5.0;
rorod,-4.0;
rompes,-4.0;
kepalang,-3.0;
ulam ulam,-5.0;
pandemi,-5.0;
atribut,-3.0;
deskripsi,-4.0;
geblek,-5.0;
bungsu,-3.0;
sembunyi,-3.0;
anggar lidah,-3.0;
londang,-3.0;
kesel,-5.0;
rabit,-3.0;
keluarga,-3.0;
berangsang,-5.0;
hilang akal,-5.0;
junior,-4.0;
penjara,-4.0;
antitesis,-3.0;
kotor,-5.0;
cucur,-5.0;
barut,-3.0;
kelis,-3.0;
pipit,-3.0;
intiha,-3.0;
tenggalam,-3.0;
sesar,-3.0;
sesap,-3.0;
sayap,-4.0;
pelak,-3.0;
cemomot,-4.0;
bebal,-3.0;
antuk,-4.0;
lantar,-4.0;
satelit,-3.0;
angsur,-3.0;
danyang,-4.0;
seleweng,-5.0;
dangkung,-3.0;
soak,-5.0;
hujat,-4.0;
rombong,-4.0;
caing,-3.0;
sorak,-3.0;
tabur,-3.0;
imbesil,-5.0;
pelir,-5.0;
kemban,-5.0;
keris,-4.0;
cekcok,-4.0;
asan asan,-5.0;
jual murah,-3.0;
tengking,-4.0;
bantu,-4.0;
konfirmasi,-4.0;
gundang,-5.0;
pecah,-4.0;
cengkeram,-5.0;
nafi,-4.0;
sakar,-5.0;
pepet,-5.0;
ketat,-3.0;
dompol,-4.0;
cecak,-3.0;
lumur,-4.0;
lukat,-4.0;
jeli,-3.0;
aborsi,-3.0;
lembu hutan,-3.0;
jalu,-4.0;
puntianak,-5.0;
tuju,-4.0;
pinggir,-4.0;
kerabu,-5.0;
debil,-5.0;
laif,-5.0;
bentul,-3.0;
renyang,-5.0;
becak becak,-3.0;
aji,-3.0;
tabal,-3.0;
rona,-3.0;
laik,-5.0;
bundak,-3.0;
narkotik,-3.0;
resan,-5.0;
koyak,-3.0;
anggota,-3.0;
benjut,-4.0;
buni,-5.0;
sangkal,-4.0;
coleng,-4.0;
pangah,-4.0;
tindih,-4.0;
sano,-4.0;
keset,-4.0;
bening,-4.0;
hemat,-3.0;
lebar mulut,-4.0;
ambles,-4.0;
konglomerasi,-4.0;
prapendapat,-3.0;
generasi,-3.0;
tunjang,-3.0;
papas,-5.0;
abses,-4.0;
handai handai,-3.0;
jawat,-3.0;
geriap,-4.0;
sara,-3.0;
absen,-3.0;
serampu,-3.0;
candala,-5.0;
batel,-4.0;
tumpat,-4.0;
jejak,-3.0;
degil,-5.0;
masyhur,-5.0;
dangkar,-4.0;
talak,-3.0;
dengki,-5.0;
bahaya,-4.0;
guguk,-5.0;
inisiator,-4.0;
pergi,-3.0;
giat,-4.0;
cucup,-3.0;
nebeng,-3.0;
kepala angin,-3.0;
asal,-3.0;
padang luas,-3.0;
selundup,-3.0;
kusut pikir,-4.0;
galas,-4.0;
temporer,-4.0;
kocar kacir,-5.0;
sambung jiwa,-3.0;
degub,-3.0;
desak,-4.0;
laknat,-5.0;
pikir tumpul,-3.0;
gema,-4.0;
sirat,-3.0;
epidemi,-5.0;
bacok,-4.0;
kepialu,-4.0;
sepakat,-4.0;
desau,-3.0;
jenewer,-4.0;
cium,-3.0;
kernai,-4.0;
rekomendasi,-3.0;
paruh,-3.0;
loyo,-3.0;
gerah,-5.0;
sekar,-4.0;
rusuk,-4.0;
cangkul,-4.0;
trek,-3.0;
minum,-3.0;
hingar,-5.0;
wreda,-4.0;
petus,-3.0;
loksek,-4.0;
copet,-5.0;
daing,-4.0;
kongkong,-3.0;
sara bara,-5.0;
rapun,-5.0;
eban,-4.0;
tuhmah,-3.0;
perit,-4.0;
rasuk hati,-3.0;
minus,-3.0;
erot,-4.0;
sat pusat,-4.0;
sikut,-5.0;
khalifatullah,-4.0;
desersi,-3.0;
nobat,-3.0;
direksi,-3.0;
kecap,-4.0;
pamflet,-3.0;
bimbang,-4.0;
pangkur,-4.0;
bablas,-5.0;
somplak,-4.0;
mamah,-4.0;
doi,-3.0;
iming iming,-3.0;
kembang kempis,-4.0;
sabet,-5.0;
rumung,-3.0;
embat,-5.0;
jual,-3.0;
derek,-5.0;
mata betung,-3.0;
hasud,-5.0;
koteng,-3.0;
hulu,-3.0;
ban,-4.0;
patah pucuk,-5.0;
ketupat bangkahulu,-5.0;
gedang,-4.0;
sitoplasma,-5.0;
umum,-3.0;
benam,-5.0;
senyap,-4.0;
puisi,-3.0;
telerang,-3.0;
asing,-5.0;
digresi,-4.0;
penyap,-3.0;
lancip,-4.0;
hoki,-3.0;
celomes,-4.0;
implementasi,-4.0;
semrawut,-5.0;
atresia,-3.0;
lopak,-4.0;
bahana,-3.0;
mampir,-3.0;
surai,-3.0;
gambar,-3.0;
asid,-5.0;
goyang,-3.0;
rangkap,-3.0;
leku,-3.0;
langsuir,-4.0;
random,-4.0;
takal,-4.0;
pupus,-5.0;
dukun,-3.0;
mengharubirukan,-4.0;
irsyad,-3.0;
rurut,-5.0;
gelantung,-4.0;
diplomasi,-5.0;
buram,-3.0;
intai,-3.0;
carik,-5.0;
belakang,-3.0;
pelana,-3.0;
buras,-4.0;
folder,-5.0;
blangko,-3.0;
badan,-3.0;
tampar,-3.0;
poleng,-3.0;
bekam,-4.0;
tipu muslihat,-5.0;
seluk,-3.0;
jungkal,-5.0;
jengkang,-5.0;
stok,-3.0;
jalan arteri,-4.0;
buah,-3.0;
inferioritas,-5.0;
cakar,-4.0;
comberan,-4.0;
gaul,-3.0;
bab,-4.0;
tampak,-4.0;
beringas,-4.0;
rudin,-5.0;
marak,-3.0;
vampir,-5.0;
gaet,-5.0;
pincang,-4.0;
indolensi,-4.0;
cakar cakar,-4.0;
dekadensi,-5.0;
ambruk,-5.0;
rubuh,-5.0;
pawana,-4.0;
radius,-4.0;
kerikil,-3.0;
rambu rambu,-4.0;
cemar,-5.0;
lekat,-3.0;
periksa,-5.0;
lekas,-3.0;
lekap,-3.0;
cemat,-5.0;
bunting,-3.0;
disentri,-5.0;
babak,-4.0;
tingkat,-4.0;
merosot,-5.0;
atur,-4.0;
gabas,-5.0;
kohor,-3.0;
lebih,-4.0;
tunjuk,-3.0;
suplai,-3.0;
inteligen,-4.0;
gunjing,-5.0;
artikel,-4.0;
berjubal,-3.0;
semir,-5.0;
pongsu,-4.0;
tatah tatah,-5.0;
anarki,-4.0;
lam,-5.0;
mencepung,-5.0;
azab,-5.0;
tegah,-5.0;
dabih,-3.0;
sisi,-4.0;
pinak,-3.0;
cempeng,-4.0;
linguis,-3.0;
guam,-4.0;
telimpuh,-3.0;
surut,-3.0;
adil,-4.0;
pita,-4.0;
bijaksana,-4.0;
awa,-3.0;
gulat,-4.0;
sigi,-3.0;
jambak,-5.0;
cekah,-4.0;
langgar,-4.0;
lunyah,-3.0;
cepol,-4.0;
lemau,-4.0;
cekat,-4.0;
simpang siur,-4.0;
tengah,-3.0;
jebol,-3.0;
setrap,-3.0;
hadir,-3.0;
subversif,-4.0;
timang nimang,-3.0;
balkon,-3.0;
juwita,-4.0;
sila,-3.0;
tambeng,-5.0;
anyir,-4.0;
hormat,-3.0;
dekus,-3.0;
madani,-4.0;
dikit sedikit,-3.0;
ayat,-4.0;
semprot,-5.0;
reguk,-3.0;
jelata,-5.0;
berak air,-4.0;
selia,-4.0;
pejal,-3.0;
kendati,-3.0;
tunggang gunung,-4.0;
gembung,-3.0;
jodoh,-3.0;
lindur,-3.0;
tuntut,-3.0;
beredak,-5.0;
semena mena,-5.0;
kedung,-3.0;
antek,-3.0;
mandiri,-3.0;
bancang,-5.0;
perdata,-3.0;
tawon,-3.0;
isolasi,-3.0;
putus akal,-5.0;
ringan lidah,-4.0;
serempak,-3.0;
perosok,-5.0;
tebuk,-3.0;
ain,-5.0;
topek,-4.0;
alur,-4.0;
serak,-4.0;
lengar,-4.0;
aib,-5.0;
frustasi,-3.0;
semat,-4.0;
ganggang,-3.0;
bimbing,-3.0;
wujud,-3.0;
wafat,-5.0;
geluduk,-3.0;
arsip,-5.0;
upaya,-4.0;
papakerma,-5.0;
istan,-5.0;
buang air,-5.0;
tongong,-3.0;
cape,-3.0;
inventori,-3.0;
labrak,-5.0;
khinzir,-4.0;
curna,-5.0;
huni,-3.0;
rayap,-3.0;
oles,-4.0;
demonstrasi,-4.0;
cuka belanda,-5.0;
alih,-5.0;
damping,-3.0;
geletar,-4.0;
kompas,-3.0;
raib,-3.0;
pandir,-5.0;
antara,-3.0;
kelam kabut,-4.0;
tambun,-3.0;
topo,-5.0;
sunat,-5.0;
lawat,-4.0;
duaja,-3.0;
pegawai perintah,-3.0;
rahmat,-3.0;
berandal,-5.0;
libas,-4.0;
selawat,-3.0;
pangsa,-3.0;
pica,-4.0;
riba,-3.0;
sengat,-4.0;
kanun,-3.0;
tanggap,-5.0;
gugat,-4.0;
kumandang,-3.0;
boyak,-5.0;
lucah,-5.0;
cekang,-3.0;
gondok,-4.0;
ambai,-5.0;
gendak,-5.0;
dalalah,-5.0;
timpa timpa,-3.0;
sewal,-5.0;
gosip,-5.0;
mata ikan,-4.0;
muncul,-3.0;
tungku,-4.0;
ambau,-5.0;
pukang,-3.0;
terbang arwah,-4.0;
aktif,-3.0;
ruat,-4.0;
bantai,-4.0;
plonga plongo,-3.0;
keropos,-3.0;
rangkai,-4.0;
tindak,-4.0;
bantar,-4.0;
ruai,-4.0;
ruak,-4.0;
pagebluk,-5.0;
canggung,-4.0;
lenggana,-4.0;
insentif,-3.0;
rangkam,-4.0;
gegadan,-5.0;
kicau,-4.0;
kucur,-3.0;
rangkak,-3.0;
shabu shabu,-3.0;
lapor,-5.0;
unting,-5.0;
ambiguitas,-5.0;
bando,-4.0;
carak,-3.0;
celetuk,-5.0;
ledek,-5.0;
arah,-4.0;
pohon,-4.0;
rumor,-5.0;
aram,-3.0;
jelingah,-3.0;
dengus,-3.0;
dengut,-3.0;
laga,-4.0;
nasihat,-3.0;
rawan,-4.0;
murup,-3.0;
lasat,-5.0;
congor,-3.0;
tegap,-3.0;
lengkap,-3.0;
sederhana,-5.0;
jentaka,-5.0;
macis,-4.0;
amor,-4.0;
dedak,-3.0;
jereket,-3.0;
salin,-3.0;
anak pinak,-3.0;
jemu,-3.0;
sedat,-4.0;
bonggol,-4.0;
liku liku,-4.0;
hidung,-5.0;
saba,-3.0;
runtun,-5.0;
redam,-4.0;
buah hati,-3.0;
doa,-3.0;
geser,-5.0;
birokrat,-3.0;
pihak,-4.0;
elus,-3.0;
tegar,-4.0;
gegabah,-5.0;
instruksi,-3.0;
sadis,-5.0;
ting,-4.0;
kos,2.0;
sarak,-3.0;
kandas,-5.0;
agama,-3.0;
dompleng,-3.0;
menit,-3.0;
kisar,-3.0;
loak,-4.0;
dekaden,-5.0;
bukti,-3.0;
kemih,-3.0;
tabrak,-3.0;
dungkul,-4.0;
sia sia,-4.0;
kerok,-3.0;
potol,-4.0;
aliansi,-4.0;
luak,-3.0;
hantam,-5.0;
menjapit,-4.0;
rosok,-3.0;
rat,-4.0;
ujung tangan,-4.0;
encok,-5.0;
otek,-4.0;
koneksi,-4.0;
mulut rambang,-4.0;
anggara,-4.0;
