word,weight
sentuh,-1
anjem,5
jemput,5
nelangsa,-3
remuk redam,-5
jastip,5
segan,-2
gemar,-1
segan,-1
sesal,-4
hayat,-2
absorpsi,-1
linu,-4
kamar,4
oper,1
antar,4
salah benang,-1
sakit,-5
siput,-4
lara,-5
zuhud,-1
cedera,-4
ingkar,-4
maaf,-3
khianat,-4
celaka,-5
tidak,-2
borong,-1
lever,-2
kasihan,-3
tidak mau,-4
saja,-1
pulas,-1
abis,-2
coba,-1
kangen,-3
mau,-1
anda,-1
mari,-1
benar,-1
yaudah,-4
tidak,-3
tidak tahu,-1
bahak,-2
atuh,-1
tarik hati,-1
cedayam,-2
kece,-3
makan,-1
belum,-1
malam,1
cekau,-2
duga,-1
suara,-1
prediksi,-1
bunyi,-1
terka,-1
taksir,-1
antisipasi,-1
nang,-5
rompok,-2
griya,-1
gubuk,-2
anjir,-3
putus jiwa,-5
dari dunia,-5
putus nyawa,-5
buang nyawa,-5
hilang hayat,-4
putus nafas,-4
kojor,-3
putih tulang,-2
buntu,-3
kalang tanah,-2
koit,-5
putus usia,-3
buntet,-2
tamat riwayat,-3
tamat riwayat,-3
hilang nyawa,-5
males,-4
asih,-1
kasih sayang,-1
kagum,-1
dendam berahi,-4
rindu,-3
afeksi,-2
cinta kasih,-1
renjana,-2
pagina,-2
tresna,-1
filantropi,-1
cintrong,-1
cetus,-1
rintis,-2
kronologi,-1
jalan buntu,-4
rintis,-2
jalan bebas hambat,-1
purwa,-2
umur,-3
bangkot,-4
sepuh,-3
usia,-3
lepra,-5
bau tanah,-4
umur,-2
purba,-3
gaco,-2
tambat hati,-2
malam,-1
tayib,-1
tayibah,-1
necis,-1
estetis,-1
baper,-4
perfek,-1
tolong,-2
sayid,-1
radang,-4
didih,-4
ngantuk,-2
sirap hati,-2
rampang,-2
hati,-4
telinga merah,-3
sirap hati,-2
merah telinga,-3
mencak mencak,-5
tidak ada,-3
manjur,-1
mujarab,-1
beber,-2
singkap,-3
tangkis,-3
mending,-3
akibat,-3
satir,-2
nyanyi,-2
sibuk,-2
gara,-4
sedikit,-4
ilang,-5
kepeng,-2
bodo,-5
air,-1
suri,-1
ihh,-5
asasi,-3
nenes,-2
tumpu,-3
fondasi,-3
beliin,-1
sekam,-3
maafin,-3
mahir,-1
galak panas manasi,-3
marah,-5
ampun,-3
balik akal,-4
masuk akal,-4
ganggu jiwa,-4
majenun,-2
gelo,-2
gila gila,-4
kalap,-3
sedeng,-2
ubah akal,-2
seram,-5
sakit jiwa,-4
gendeng,-2
ubah ingat,-3
sinting,-5
gila,-4
sakit ingat,-4
sesat akal,-2
duh,-4
memang,-1
hujan,-2
aduh,-3
cerita khayal,-2
typo,-2
langkah,-1
isap jempol,-3
engah,-4
mafhum,-1
fiksi,-2
omong kosong,-4
balas,-3
profit,-1
waris,-2
selisih,-4
senjang,-4
bareng,-3
ekstasi,-3
lapar,-3
bandel,-5
ngaku,-3
telat,-5
kopong,-4
ngerti,-1
dunia,-2
nol,-3
cari,-2
sorry,-4
ana,-3
bastar,-2
tega,-5
denyut,-3
kayak,-3
sibuk,-3
ringan tangan,-1
gelora,-2
energik,-1
bara,-3
kobar kobar,-2
nyala,-2
mentolo,-2
hati,-2
sungguh sungguh,-1
tren,-2
sembur,-3
imbas,-4
alir udara,-1
lesit,-1
rahayu,-2
gusar,-3
curat,-1
parah,-5
topan,-3
tembis,-3
damprat,-4
suak,-2
bongsor,-2
bias,-2
rajam,-4
rantus,-3
gentas,-2
tidak usah,2
tanya,-1
lelah,-3
bosan,-4
susah hati,-5
kabung,-5
receh,-4
muram durja,-5
lara lara,-4
senang,-1
sungkawa,-3
susah,-5
peluk,-3
bunuh diri,-5
bunuh,-5
menep,-3
obsesi,-2
dekap,-2
tidak usah,-4
sengsara,-5
buru buru,-3
kencang,-3
kilat,-2
akas,-2
dahulu,-1
adang,-3
suruh,-2
terampil,-3
pesat,-2
sebat,-3
sput,-2
filsafat,-3
dogma,-3
imut,-1
doktrin,-3
lapar,-5
dominan,-2
masif,-3
lihat,-2
keras tulang,-2
tangguh,-2
keseser,-4
maksa,-5
tanduk,-2
luput,-3
jaman,-2
geliat,-3
tumpas,-4
keok,-2
cecer,-3
bangan,-3
pengaruh,-2
lipur,-2
bedegap,-2
lengan,-2
gelibat,-2
suka cita,-1
pacar,-3
semangat,-1
bahagia,-1
desir,-2
suntuk,-4
adik,-1
block,-4
pening,-3
apa,-3
kliyengan,-4
pusing,-4
jenguk,-2
aku,-1
runyam,-5
luyu,-1
mikir,-3
elusif,-2
bohong,-4
tandang,-2
kasihan,-3
sayu,-3
cenderung,-2
selit belit,-3
preseden,-2
miss,-4
kesal,-5
intensif,-4
maaf,-3
maaf,-3
kalem,-2
rantai,-3
pintar,-1
mesti,-3
serang,-4
benak kepala,-3
otak,-3
daya pikir,-2
wajib,-2
dedengkot,-2
tagih,-3
bogem mentah,-5
gila,-3
coret,-1
benar,-1
halah,-5
alay,-4
gergaji,-1
masuk,4
bayar,-3
tukang,-2
potong,-3
bayar,-3
curhat,-3
susup,-2
pakar,-1
kawaei,-2
babar,-2
jatuh,-3
runtuh,-5
perenyak,-4
gentar,-4
pailit,-5
singkir,-5
lorot,-4
tetes,-3
roboh,-5
cebur,-5
biak,-3
jeblos,-4
gelincir,-3
rebah,-3
sesal,-5
biasin,-3
terjun,-3
rusuh,-4
dapat,-2
tangkap tangan,-4
pelanting,-3
lubang,-3
cemplung,-4
jeblos,-4
diam,-3
pergok,-5
kayak,-2
banting,-3
tangkap basah,-3
babar,-1
terjerembab,-2
luruh,-2
gelincir,-3
buang,-2
macet,-4
gogrok,-3
jelabak,-3
sembul,-3
capai,-4
cuat,-3
unjuk,-3
songsong,-2
balik,-2
sekutu,-3
kekang,-4
elu,-2
asa,-2
temenan,-2
purnama,-3
ekstrem,-4
dahulu,-1
inklusif,-2
baca,-1
revolusioner,-1
asak,-3
lelang,-3
mula,-3
radikal,-4
jejal,-3
begah,-2
telak,-3
telik,-2
hati hati,-3
jaga jaga,-3
entah,-3
tajam mata,-1
kelih,-3
please,-3
tae,-4
awas,-3
tidak boleh,-4
dengar,-3
suruh,-2
waspada,-3
pelit,-5
kial,-4
temu,-2
kroni,-3
bot,-2
cute,-1
rekan,-2
wacana,-3
tengok,-2
subang,-1
komplot,-4
giwang,-1
lendeh,-3
simpuh,-3
ogah,-3
gelesot,-3
tumpang tinggal,-4
kuliah,-2
semayam,-3
manja,-3
polos,-2
cokol,-4
cokol,-4
sia,-5
esok,-2
mana,-3
himpit,-4
tindas,-5
pilih,-2
kasih,-2
heboh,-3
pilih pilih,-3
sebal,-5
payudara,-3
man,-1
tetek,-4
onar,-5
buah dada,-3
biarin,-3
gempar,-4
dempet,-3
kesal,-5
bergas,-2
gadang,-4
kawal,-2
alam,-1
sadar,-1
dukacarita,-4
apasih,-4
gugah,-1
tindik,-3
drama duka,-4
pindah,-3
oma,-2
unduh;2
derita,-5
tugas,-1
asri,-3
borak,-4
pedih,-5
pulak,-2
sunduk,-3
rawat,-3
buyut,-3
tragedi,-5
kecek,-3
andal,-1
sial,-5
kismat,-2
daya muat,-2
amuk,-5
surat takdir,-3
malang,-5
geruh,-4
iya,-2
dikatain,-3
duluan,-2
pokok,-3
daya tampung,-2
daya serap,-2
nahas,-2
untung,-1
bahala,-3
gerhana,-2
sedi,-2
sengaja,-2
segitu,-3
php,-4
tendas,-4
anggur,-5
statis,-3
pasif,-3
batu,-2
hiatus,-2
stagnan,-3
bisu,-3
biar,-3
tidak suka,-4
lepas,-2
huhuhu,-2
bungkam,-4
kosong,-4
bajing,-5
hati,-2
diam,-3
tegun,-3
kaget,-3
cabe,-2
sugesti,-3
kuota,-2
lengang,-4
tengkulak,-5
campak,-4
syur,-3
sanggama,-2
sepi,-3
naon,-2
teduh,-2
patung,-3
keluar,-3
maaf,-3
tutup mulut,-3
peranjat,-3
lanyak,-3
hina,-5
lancar,-2
nista,-5
leave,-3
licin,-2
murah,-2
spam,-3
mentang,-3
ingin tahu,-3
tobat,-2
mentang mentang,-4
ringan,-1
astagfirullah,-4
mudah,-1
titip api,-1
cebik,-3
fokus,-2
tahan,-2
resistan,-2
enteng,-2
astaga,-4
maapin,-4
berat tangan,-4
berat hati,-4
lembam,-4
macem,-2
realitas,-3
alpa,-3
yauda,-4
gigit,-2
ihhh,-4
orang,-2
berat pinggul,-2
pilih,-2
kerubut,-3
sebab,-3
kempes,-4
bye,-3
kerubung,-3
tuntun,-2
tau,-4
serah,-3
wabah,-5
uar uar,-3
wara wara,-3
keroyok,-4
istirahat,-2
tidak jadi,-3
diri,-1
ati,-1
cinta,-3
rasa,-2
jelus,-2
timbal,-2
dajal,-5
artistik,-2
mukhlis,-2
tentang,-2
mbeling,-2
ramai,-2
iri,-4
ngeselin,-5
ngatain,-5
ganjar,-5
junjung,-2
imut imut,-1
seruh,-2
lurus hati,-1
lari lari,-2
senyum,-1
seringai,-4
ganjar,-3
panas hati,-5
keki,-4
jail,-4
lambat,-5
sayang,-3
hukum,-3
sayang,-3
balas,-3
gemes,-2
sukarela,-2
kebiri,-4
prasangka,-3
pahala,-1
pemuda,-1
mohon,-2
henti,-3
erang,-4
manah,-2
mabok,-4
panggil,-1
malas gerak,-4
peduli,-2
hitam,-4
rip,-5
bandung,-1
haih,-4
muda,-2
tuhkan,-4
dua,-3
regenerasi,-2
gubris,-2
indah,-2
rumit,-4
master,-1
iri,-5
hati,-1
tanggung,-4
diapain,-3
pelita,-2
nyali,-2
tangan panas,-4
rugi,-5
nyali,-1
tinggal,-4
kerja,-2
puntung,-3
percaya,-1
pikir,-2
merah,-3
nyali,-2
nekat,-4
njir,-3
paksa,-4
baiat,-3
satria,-1
masak,-2
labil,-4
goreng,-2
antipati,-3
kontradiksi,-3
apa,-2
tinggal,-4
teman,-3
kerumit,-5
khilaf,-4
nihh,-3
selidik,-3
wajib,-2
lagi,-3
negasi,-2
meh,-5
kota,-1
varian,-2
semi,-2
keruh,-4
colong,-5
kusut,-4
rudapaksa,-4
telaah,-2
ruwet,-4
sedih,-5
teledor,-5
hati,-2
kot,-1
serah,-3
lanjur,-3
cakap,-1
geleng geleng,-3
tidak,-3
cengang,-2
menung,-3
cengang,-3
cinta,-1
sesal,-4
lumayan,-2
mata,-2
duka,-5
atraktif,-2
pamer,-3
pucat,-4
pesona,-1
banjir,-4
takjub,-1
terpana,-2
bah,-3
kesima,-1
takjub,-1
pukau,-1
impas,-3
takjub,-1
bandang,-4
pukau,-1
tiada,-5
rasisme,-5
pesona,-1
sirik,-5
heran,-3
sesal,-4
tidak pernah,-3
rapi,-2
penasaran,-3
tulus hati,-1
beton,-2
tunggu,-3
umpan,-3
cadas,-3
lembek,-4
hih,-4
tutup,-3
korban,-4
kurban,-3
sikit,-3
awal,-2
peduli,-1
bongkah,-2
bodoamat,-4
rela,-3
dengkik,-4
takda,-2
obat,-3
tetua,-2
error,-5
anugerah,-1
dongeng,-1
jir,-3
impoten,-5
kiri,-3
perih,-4
babi,-4
habitat,-2
kenang kenang,-2
reka,-2
memejahijaukan,-4
sembah,-2
tangguh,-2
sudah,-2
gebetan,-2
jutek,-5
ajal,-4
aku,-3
gerombol,-4
ora,-3
gatal,-3
tajam,-2
curu,-3
nongkrong,1
nongol,-2
barzakh,-4
sidang,-3
pantes,-3
ngalah,-3
jabat,-3
ganjil,-4
ketidaktentuan,-5
jarak,-3
sad,-4
comeback,-2
udahan,-4
ugh,-4
acuh acuh,-3
next,-2
tutup,-3
jenguk,-4
cuek,-5
sangkut paut,-4
sayup,-3
ish,-4
doh,-4
pantat,-3
tebal telinga,-3
aneh,-4
korek ngorek,-4
diet,-3
syedih,-5
lugu,-2
interaksi,-2
berhala,-4
sudah,-3
iih,-5
tahi,-5
kemaknagandaan,-3
bodoh,-4
final,-2
dimarahin,-5
suruh,-3
dibales,-3
sangkut,-4
kampret,-5
istirahat,-2
jin,-3
pikir,-3
murtad,-5
mogok,-5
setan,-4
nyebut,-3
piye,-3
gusur,-5
drastis,-4
pojok,-4
cengang,-3
tunggu,-2
demon,-3
durhaka,-5
super,-2
kesal,-5
iblis,-4
baperan,-4
ikut,-2
sebentar,-2
sebelah,2
keri,-4
hantu,-4
makhluk halus,-4
got,-3
diam,-3
bunuh,-5
siluman,-5
tumpah hati,-3
jasa titip,3
larutan,2
momok,-4
tengkar,-4
mangkas,-2
bain,-2
sundal bolong,-5
tahan,-3
sian,-3
jahil,-4
singgah,-2
sekongkol,-4
life,-2
bidah,-3
tantang,-4
selingkuh,-5
getar,-3
bohong,-5
classy,-2
peristiwa,-2
lumat,-4
insiden,-4
oon,-5
orok,-3
selingkuh,-5
tunggu,-2
bijih,-3
pelosot,-3
remuk,-4
keburu,-3
gadai,-3
runtuh,-4
anjing,-4
naena,-2
jabang bayi,-3
binasa,-5
dalih,-4
why,-2
modus,-3
aduh,-3
cuti,-2
bobrok,-5
tidurin,-2
cariin,-2
kandut,-3
dengung,-3
bakar,-3
ganyang,-4
rusak,-4
selusur,-3
konspirasi,-4
kurus,-3
berantak,-4
bully,-5
komplot,-4
jadi,-2
bicara,-3
stalk,-4
runtuh,-4
jeriji,-4
pasuk,-3
sange,-5
kongkalikong,-4
serong,-4
maki,-5
cemong,-4
kerasan,-2
kurang,-3
lilit,-3
hina,-5
hina,-5
kurung,-3
kecil,-3
cemooh,-5
malu,-4
umpat,-4
abai,-3
cemooh,-5
merem,-2
lock,-2
leceh,-5
lemah,-4
ngilang,-3
kerak,-2
daif,-3
hina aib,-4
kontras,-3
ejek,-4
perang,-3
rundung,-4
marahin,-4
kelakar,-4
sakit,-5
sepele,-4
pahit,-4
ngertiin,-3
cabul,-5
jijik,-5
tuak,-3
tauu,-3
beda,-2
hina rendah,-3
nista,-4
buruk,-5
kroco,-4
cela,-5
sindir,-4
busuk,-5
kumuh,-4
singgung,-5
besit,-2
cengkerama,-2
cumbu cumbu,-3
cemeeh,-4
noda,-4
bejat,-5
cibir,-5
biar,-3
malu,-4
olok olok,-4
sakit,-5
benci,-5
ulah,-4
keji,-5
gampang,-3
gausa,-3
bobrok,-4
sebal,-4
main main,-2
cumbu,-3
cerca,-4
daif,-4
ldr,-2
menang,-5
genit,-3
erik,-3
lemas,-3
jahad,-4
taraf,-2
monyet,-3
astaghfirullah,-3
letih,-3
tidur,-3
gapaham,-4
capai,-4
punah,-4
lesu,-4
tinggal,-3
apas,-3
mampus,-5
keramat,-3
campur aduk,-2
ricuh,-4
soms,-4
stress,-5
kemayu,-3
cangkum,-3
lama,-2
diginiin,-3
sihh,-2
yakali,-3
sakral,-2
ngenes,-4
tendensi,-3
kalut,-3
mati,-5
lenguh,-4
jahanam,-5
gangerti,-3
gegara,-3
godain,-3
idiot,-5
ambigu,-3
utang,-4
sial,-5
centil,-3
bacot,-4
malas,-4
sunyi,-3
balik,-3
amoral,-3
bekas,-3
anti,-2
gabole,-2
simpan,-3
ganggu,-4
sentimen,-3
perang,-4
santun,-2
rela,-2
mulut,-1
boro,-2
kasam,-3
pencet,-2
bantet,-3
sin,-1
kesumat,-4
bokek,-5
muncikari,-5
tip,-3
asusila,-5
stop,-3
ciut,-3
bengkak hati,-3
kosong,-3
dendam,-5
tidak enak,-3
susah,-3
mucikari,-5
maapkan,-3
vulgar,-3
ndut,-4
turun,-3
hilang,-4
kecoa,-3
pokok,-2
begitu,-3
ratap,-3
sepi,-4
pesan,-3
gelanggang,-3
salah,-4
kampit,-1
tunggu,-2
dengu,-3
gaje,-3
sakit,-4
senjang,-4
cedih,-3
jauh,-4
jijik,-5
putus,-5
sakit,-5
ngadu,-3
najis,-4
kesal,-5
ego,-3
geli,-2
maklum,-2
kambing,-3
diblock,-4
crash,-4
sampah,-4
maruk,-3
rangsang,-3
abai,-2
tinggal,-4
otak,-2
erti,-2
renggang,-3
tewas,-5
amarah,-5
radang,-4
melek,-2
kenal,-2
buang,-4
sangka,-3
dilupain,-4
kebo,-4
nyasar,-4
ungkap,-3
bocor,-4
ekspos,-4
usai,-2
pensiun,-3
dibully,-5
kontol,-5
mimpiin,-2
susila,-2
begadang,-3
eks,-3
mudarat,-5
delete,-3
cerewet,-5
berahi,-5
patah,-4
jerawat,-3
bawel,-4
pudar,-3
tega,-4
hilang,-3
hambur,-3
rongsok,-3
gairah,-2
asih,-2
mencret,-4
makan,-3
iluminasi,-3
selingkuh,-5
jones,-3
bicara,-3
hapus,-3
mantan,-3
iseng,-3
zakar,-3
air liur,-2
berengsek,-5
laporin,-3
leceh,-5
henti,-3
syahwat,-2
tinggi,-2
penat,-2
nyinyir,-4
cerai berai,-5
igau,-3
kenapasih,-3
sesak,-4
rahasia,-2
anjay,-3
sumbat,-3
letih,-3
ucek,-3
lelah,-3
gila,-5
tamat,-4
singkap,-3
konco,-3
balesnya,-2
pantas,-2
erotis,-4
curi,-5
perkara,-4
kutuk,-5
hilang ingat,-4
anjur,-2
bersitegang,-4
buah bibir,-2
teriak,-2
cegah,-2
rem,-2
tiri,-2
kerut merut,-3
rabies,-4
serapah,-4
diam,-3
tangkap,-3
emosi,-4
ria,-4
kutil,-4
teledor,-4
jarah,-4
jarak,-3
paksa,-4
relung,-2
heula,-2
atut,-2
pegang,-2
congkel,-4
keinget,-2
sumpah,-3
banding,-3
gempal,-2
hambat,-3
sakit,-4
asam,-2
aur,-3
traumatis,-4
pingsan,-3
latih,-2
ekang,-4
comot,-4
tembak tembak,-5
ngamen,-3
tenggelem,-3
genang,-2
derita,-5
kasihan,-3
nyamuk,-1
keras hati,-3
buang,-3
tunas,-2
bad,-4
tanggung,-2
gatal,-3
seram,-4
jleb,-3
otot,-4
pisah,-3
idih,-3
banding,-3
badung,-4
blokir,-3
perkutut,-3
ngeri,-4
egois,-5
kubang,-3
abg,-2
tinggi,-2
hama,-3
hambat,-4
digituin,-2
nyariin,-2
harap,-2
keluh,-4
sisa,-4
makan,-2
gelap,-4
bolong,-3
merinding,-3
rinding,-3
tembam,-4
sentuh,-2
kontaminasi,-4
hate,-5
dalam,-2
salah,-4
lembam,-3
tempik,-4
tendang,-3
habis,-3
desah,-3
cuekin,-3
pikun,-4
kelu,-3
tinggal,-3
miris,-4
primitif,-4
typonya,-3
buru,-3
rampok,-5
ringkus,-5
besar,-2
diketawain,-4
nyeri,-4
hack,-4
terminasi,-3
sedih,-5
henti,-4
lupa,-3
keluar,-3
dikangenin,-2
gapuk,-3
bendung,-3
nyerah,-3
rebut,-3
edan,-3
jerit,-3
rampas,-4
nabrak,-4
tilap,-4
pekik,-5
ngiler,-3
maghrib,-2
catut,-3
caplok,-3
rindu,-2
ramal,-2
ingat,-2
gempar,-2
bopong,-3
seksi,-3
addict,-3
fail,-5
endus,-3
pendek,-2
pindah,-3
duet,-2
guram,-2
usir,-4
tekan mental,-4
hiruk,-4
mewek,-5
trauma,-5
unmood,-3
bekap,-3
rasa,-2
ejek,-4
bajak,-4
pusing,-4
week,-4
goda,-3
gajih,-2
tinggi,-2
mohon,-2
bolos,-3
hiruk pikuk,-3
gugur,-3
olok olok,-5
engah,-3
mantan,-3
umbar,-3
kurang,-2
kabut,-3
layuh,-3
lain,-4
unfollow,-2
risiko,-3
dingin,-3
ancam,-4
batuk,-4
sembarang,-4
ngadepin,-2
dalang,-3
geger,-3
acau,-4
pinggul,-3
tidak biasa,-2
rusuh,-4
sindir,-3
redup,-3
kentut,-2
mainin,-2
musuh,-4
qada,-2
gabakal,-4
abu abu,-2
hoax,-5
emergensi,-4
muak,-5
mual,-5
buru,-4
acak acak,-5
close,-2
tegur,-3
susah,-5
ribut,-4
tbc,-3
shy,-3
cemas,-3
paranormal,-2
recok,-3
demo,-3
lost,-3
gangguin,-3
melankolis,-2
kabut,-2
kabur,-2
protes,-3
lupa,-3
usil,-3
jealous,-3
tular,-4
grogi,-4
keburu,-5
batuk kering,-3
pasrah,-2
,-3
ganggu,-4
sengal sengal,-4
kejut,-3
gelegak,-3
malapateka,-3
debar,-3
heboh,-3
bolos,-3
gede,-2
muram,-4
sotoy,-4
ampun,-2
derai,-3
nyalahin,-4
mafia,-5
sambat,-3
benci,-5
enek,-4
gaakan,-2
tutup,-2
kapah kapah,-2
celaka,-5
jahil,-3
gerecok,-4
kolera,-4
ganjal,-3
guncang,-2
tanda,-2
sogok,-4
simpang,-4
selamat tinggal,-3
simbah,-3
saum,-2
cacing karawit,-3
ringkas,-2
yalord,-2
cemeti dewa,-2
nyesal,-4
narkotika,-4
syedi,-4
standar,-2
sekali,-2
banget,-2
gagah,-1
cabe,-3
tidur,-2
sunu,-2
neng,-1
kuyup,-3
alami,-3
kelir,-3
hati hati,-2
tata,-2
gundik,-2
luka,-5
belia,-2
album,-2
comel,-1
sibuk,-3
asuh,-2
alah,-4
aduh,-4
enak,-4
sudah,-3
geluncur,-3
remaja,-2
akuan,-3
image,-2
bawain,-3
puasa,-2
kerut,-2
cacing jantung,-4
cacing ginjal,-4
brutal,-5
hamster,-3
diajarin,-3
luda,-3
giniin,-2
suap,-3
tetiba,-3
tebat,-3
tebak,-2
amatin,-2
diliatin,-3
mirip,-2
cacing gilig,-4
api,-2
senonoh,-5
garuk,-3
bisain,-2
timang,-1
insane,-4
sambal,-2
gjd,-3
malu,-3
kualat,-4
selulur,-2
sakit,-4
memang,-2
gersang,-3
tolak,-4
jilat jilat,-2
jahatin,-3
cacing hati,-2
babu,-5
abai,-3
sedih,-4
timpa,-3
guncang,-3
kontroversi,-4
mblo,-3
tidak kuat,-3
poor,-4
mata mata,-3
kenapaaa,-3
pikul,-2
lau,-2
gelicik,-3
jilat,-3
selir,-4
yaoi,-5
idam,-2
napsu,-3
zalim,-5
gelingsir,-3
bau kencur,-4
alergi,-3
kodok,-2
drop,-3
dikit,-3
belikan,-1
sundut,-3
anggur,-4
pataka,-3
sepele,-4
kurang,-3
siapa,-2
mahh,-3
gamungkin,-3
matiin,-2
bantah,-3
kenapa,-3
lagak,-2
cacing gila,-4
eek,-5
malesin,-4
anak bawang,-2
dinistain,-4
yahhh,-3
loloh,-3
sekongkol,-3
bokep,-5
jahat,-4
seksologis,-2
claim,-3
candu,-3
mumpung,-3
cemberut,-4
dijadikan,-2
lepek,-4
jangann,-3
gila,-4
gulir,-3
boros,-5
ganti,-3
air,-1
jujur,-1
akumah,-3
goodbye,-3
semena,-3
panas manasi,-3
curcol,-3
rajam,-5
nyata,-2
keparat,-5
linggis,-4
hangus,-3
kepleset,-4
badmood,-4
die,-4
malak,-4
indikasi,-2
kesi,-4
denyut,-2
peleset,-4
selusur,-3
ihhhh,-3
bobroq,-4
tuyul,-4
remeh,-5
gantung,-3
taat,-1
intrik,-3
padahal,-2
kerat,-1
raiso,-3
excited,-1
guling,-3
tewas,-3
balik,-3
gangsar,-3
kemas kemas,-2
cari,-3
susut,-2
becek,-4
ya sudah,-3
jahat,-3
luluh,-3
sohor,-1
rentan,-4
iyasih,-2
rusak binasa,-4
belah,-5
horny;-4
ngentot;-3
anjer,-3
alat vital,-2
gibah,-3
